variant,alpha,seed,clean,noise0.1,noise0.2,noise0.3,wnoise0.1,wnoise0.3,wnoise0.5,cert0.05,cert0.1
corridor,-0.9,0,0.9376391982182628,0.9086859688195992,0.7884187082405345,0.6547884187082404,0.9360801781737192,0.9320712694877505,0.9262806236080177,0.8953229398663697,0.8485523385300668
corridor,-0.9,1,0.9510022271714922,0.9175946547884186,0.7939866369710469,0.6494432071269487,0.9512249443207128,0.948997772828508,0.9456570155902003,0.9287305122494433,0.8775055679287305
corridor,-0.9,2,0.955456570155902,0.9160356347438752,0.792204899777283,0.6414253897550111,0.9527839643652563,0.9474387527839646,0.9414253897550109,0.9198218262806236,0.8485523385300668
corridor,-0.9,3,0.9398663697104677,0.9171492204899778,0.7928730512249444,0.6458797327394208,0.9394209354120265,0.942316258351893,0.9412026726057906,0.9131403118040089,0.8507795100222717
corridor,-0.9,4,0.9265033407572383,0.8973273942093541,0.7726057906458798,0.6289532293986637,0.928730512249443,0.928730512249443,0.9218262806236079,0.9086859688195991,0.8530066815144766
corridor,-0.6,0,0.9510022271714922,0.9173719376391981,0.7868596881959912,0.6285077951002227,0.9510022271714924,0.9483296213808463,0.9342984409799554,0.9086859688195991,0.8374164810690423
corridor,-0.6,1,0.9465478841870824,0.9126948775055679,0.7861915367483296,0.6334075723830735,0.9447661469933184,0.9438752783964365,0.9414253897550111,0.9265033407572383,0.8730512249443207
corridor,-0.6,2,0.9465478841870824,0.9133630289532293,0.7955456570155903,0.644543429844098,0.9474387527839646,0.943652561247216,0.9398663697104676,0.9131403118040089,0.8485523385300668
corridor,-0.6,3,0.9287305122494433,0.9095768374164811,0.7875278396436526,0.6260579064587973,0.929175946547884,0.9347438752783963,0.9342984409799554,0.9086859688195991,0.844097995545657
corridor,-0.6,4,0.9354120267260579,0.8935412026726057,0.7547884187082405,0.6071269487750557,0.9342984409799554,0.931403118040089,0.9278396436525611,0.9131403118040089,0.8663697104677061
corridor,-0.3,0,0.9420935412026726,0.9060133630289533,0.776837416481069,0.6287305122494432,0.9418708240534519,0.9385300668151446,0.93184855233853,0.9020044543429844,0.8262806236080178
corridor,-0.3,1,0.9420935412026726,0.9097995545657016,0.778619153674833,0.6325167037861915,0.939643652561247,0.9376391982182627,0.9342984409799554,0.910913140311804,0.8596881959910914
corridor,-0.3,2,0.9443207126948775,0.9144766146993317,0.7897550111358574,0.6443207126948775,0.9456570155902007,0.94097995545657,0.9367483296213808,0.9131403118040089,0.8574610244988864
