variant,alpha,seed,clean,noise0.1,noise0.2,noise0.3,wnoise0.1,wnoise0.3,wnoise0.5,cert0.05,cert0.1
corridor,-0.9,0,0.7104677060133631,0.6619153674832962,0.547216035634744,0.43741648106904235,0.7111358574610245,0.7126948775055679,0.7089086859688196,0.6726057906458798,0.6102449888641426
corridor,-0.9,1,0.7706013363028953,0.7182628062360801,0.609576837416481,0.5077951002227172,0.7721603563474388,0.7652561247216034,0.7576837416481069,0.7238307349665924,0.6681514476614699
corridor,-0.9,2,0.89086859688196,0.8356347438752785,0.6853006681514476,0.5478841870824053,0.8893095768374165,0.8924276169265033,0.8824053452115812,0.8463251670378619,0.7951002227171492
corridor,-0.9,3,0.8730512249443207,0.8162583518930957,0.6674832962138085,0.5334075723830735,0.8739420935412028,0.8706013363028953,0.8643652561247215,0.8396436525612472,0.8062360801781737
corridor,-0.9,4,0.8129175946547884,0.7251670378619154,0.5866369710467706,0.4755011135857461,0.8093541202672606,0.8077951002227172,0.8020044543429844,0.7728285077951003,0.7260579064587973
corridor,-0.6,0,0.7750556792873051,0.7405345211581291,0.6178173719376393,0.5253897550111358,0.778173719376392,0.7783964365256124,0.7806236080178173,0.7416481069042317,0.6547884187082406
corridor,-0.6,1,0.8084632516703786,0.7694877505567929,0.6418708240534522,0.5138084632516704,0.8062360801781738,0.8042316258351894,0.8044543429844098,0.7884187082405345,0.7661469933184856
corridor,-0.6,2,0.910913140311804,0.8679287305122495,0.7236080178173719,0.5908685968819599,0.9102449888641425,0.910913140311804,0.9015590200445434,0.8864142538975501,0.8240534521158129
corridor,-0.6,3,0.89086859688196,0.8369710467706014,0.7020044543429844,0.5652561247216035,0.8879732739420936,0.8859688195991092,0.8817371937639198,0.8552338530066815,0.8129175946547884
corridor,-0.6,4,0.8329621380846325,0.7697104677060134,0.6407572383073497,0.5253897550111358,0.8320712694877507,0.8389755011135858,0.8256124721603563,0.8084632516703786,0.7594654788418709
