depth,seed,clean,cert0.05,attack0.05,cert0.1,attack0.1
4,0,0.9844097995545658,0.9420935412026726,0.9533333333333334,0.8106904231625836,0.92
6,0,0.9888641425389755,0.9376391982182628,0.96,0.7973273942093542,0.9
8,0,0.9821826280623608,0.9265033407572383,0.9466666666666667,0.734966592427617,0.9
10,0,0.9643652561247216,0.933184855233853,0.96,0.7951002227171492,0.9066666666666666
4,1,0.9755011135857461,0.9420935412026726,0.9466666666666667,0.8329621380846325,0.9133333333333333
6,1,0.9732739420935412,0.9576837416481069,0.94,0.8418708240534521,0.9066666666666666
8,1,0.9688195991091314,0.9465478841870824,0.9533333333333334,0.8329621380846325,0.9333333333333333
10,1,0.9153674832962138,0.8975501113585747,0.8866666666666667,0.734966592427617,0.7666666666666667
4,2,0.977728285077951,0.933184855233853,0.9266666666666666,0.7951002227171492,0.8733333333333333
6,2,0.9844097995545658,0.9420935412026726,0.94,0.7884187082405345,0.8933333333333333
8,2,0.9755011135857461,0.9354120267260579,0.9133333333333333,0.7906458797327395,0.8733333333333333
10,2,0.9732739420935412,0.9309576837416481,0.9266666666666666,0.7884187082405345,0.8933333333333333
4,3,0.977728285077951,0.9510022271714922,0.9733333333333334,0.7973273942093542,0.8933333333333333
6,3,0.9799554565701559,0.9398663697104677,0.98,0.7527839643652561,0.9333333333333333
8,3,0.9821826280623608,0.9443207126948775,0.9533333333333334,0.77728285077951,0.9066666666666666
10,3,0.9576837416481069,0.8752783964365256,0.9133333333333333,0.688195991091314,0.8466666666666667
4,4,0.9844097995545658,0.9443207126948775,0.9466666666666667,0.8106904231625836,0.9
6,4,0.9755011135857461,0.9398663697104677,0.94,0.8307349665924276,0.9133333333333333
8,4,0.9821826280623608,0.9487750556792873,0.9533333333333334,0.8329621380846325,0.9333333333333333
10,4,0.9755011135857461,0.9354120267260579,0.94,0.7483296213808464,0.9133333333333333
