config,family,rho_train,seed,clean,cert0.01,cert0.02,cert0.05,cert0.1,cert0.15,cert0.2,cert0.3
interval const 0.15,interval const,0.15,6,0.9331,0.9311,0.9285,0.9207,0.8981,0.8531,0.6637,0.0753
interval inc 0.15,interval inc,0.15,6,0.7501,0.7481,0.7467,0.7399,0.7265,0.709,0.6831,0.5565
interval const 0.2,interval const,0.2,6,0.8617,0.8603,0.858,0.8511,0.839,0.8219,0.7917,0.3066
interval inc 0.2,interval inc,0.2,6,0.3765,0.3759,0.3756,0.3741,0.3709,0.3678,0.3635,0.3517
interval const 0.3,interval const,0.3,6,0.4506,0.4502,0.45,0.4486,0.4464,0.4435,0.4391,0.4288
interval inc 0.3,interval inc,0.3,6,0.1135,0.1135,0.1135,0.1135,0.1135,0.1135,0.1135,0.1135
backprop,backprop,,7,0.9739,0.2645,0.0,0.0,0.0,0.0,0.0,0.0
weight-noise 0.15,weight-noise 0.15,0.15,7,0.9773,0.348,0.004,0.0,0.0,0.0,0.0,0.0
interval const 0.02,interval const,0.02,7,0.9803,0.9721,0.957,0.8403,0.0441,0.0,0.0,0.0
interval inc 0.02,interval inc,0.02,7,0.9798,0.9711,0.9612,0.8789,0.1718,0.0,0.0,0.0
interval const 0.05,interval const,0.05,7,0.9771,0.9723,0.9671,0.9434,0.7704,0.0588,0.0006,0.0
interval inc 0.05,interval inc,0.05,7,0.9701,0.9676,0.9628,0.9474,0.8673,0.3567,0.0047,0.0
interval const 0.1,interval const,0.1,7,0.9629,0.9611,0.9583,0.9476,0.9054,0.6988,0.0766,0.0001
interval inc 0.1,interval inc,0.1,7,0.9433,0.9403,0.9368,0.9266,0.9051,0.8701,0.7578,0.0704
interval const 0.15,interval const,0.15,7,0.917,0.9148,0.9128,0.8905,0.8661,0.826,0.6155,0.0687
interval inc 0.15,interval inc,0.15,7,0.6842,0.6822,0.6792,0.6728,0.6585,0.6409,0.6134,0.5318
interval const 0.2,interval const,0.2,7,0.8561,0.8534,0.8509,0.8423,0.827,0.8027,0.7606,0.2463
interval inc 0.2,interval inc,0.2,7,0.2065,0.2063,0.2063,0.113,0.113,0.113,0.113,0.113
interval const 0.3,interval const,0.3,7,0.2688,0.2683,0.2678,0.2673,0.2647,0.2608,0.2513,0.1755
interval inc 0.3,interval inc,0.3,7,0.1135,0.1135,0.1135,0.1135,0.1135,0.1135,0.1135,0.1135
backprop,backprop,,8,0.9738,0.1488,0.0,0.0,0.0,0.0,0.0,0.0
weight-noise 0.15,weight-noise 0.15,0.15,8,0.9769,0.1854,0.0,0.0,0.0,0.0,0.0,0.0
interval const 0.02,interval const,0.02,8,0.9791,0.969,0.9544,0.8434,0.0724,0.0,0.0,0.0
interval inc 0.02,interval inc,0.02,8,0.9795,0.9721,0.9625,0.8867,0.1886,0.0,0.0,0.0
interval const 0.05,interval const,0.05,8,0.9756,0.9729,0.9671,0.9408,0.7355,0.0625,0.0007,0.0
interval inc 0.05,interval inc,0.05,8,0.9704,0.9676,0.9636,0.9464,0.8637,0.3491,0.0086,0.0
interval const 0.1,interval const,0.1,8,0.9645,0.9614,0.9581,0.9473,0.9045,0.6865,0.137,0.0131
interval inc 0.1,interval inc,0.1,8,0.9354,0.9326,0.9298,0.9142,0.8803,0.8234,0.6866,0.0469
interval const 0.15,interval const,0.15,8,0.9285,0.9264,0.924,0.9143,0.8902,0.8324,0.4851,0.0364
interval inc 0.15,interval inc,0.15,8,0.6772,0.675,0.673,0.667,0.6577,0.6463,0.6301,0.5748
interval const 0.2,interval const,0.2,8,0.7856,0.7837,0.7816,0.7745,0.7589,0.7318,0.6658,0.127
interval inc 0.2,interval inc,0.2,8,0.4235,0.4229,0.4222,0.4198,0.4167,0.4124,0.4074,0.3913
interval const 0.3,interval const,0.3,8,0.4362,0.4357,0.4353,0.4339,0.4308,0.4265,0.4202,0.4065
interval inc 0.3,interval inc,0.3,8,0.1135,0.1135,0.1135,0.1135,0.1135,0.1135,0.1135,0.1135
backprop,backprop,,9,0.9776,0.2254,0.0,0.0,0.0,0.0,0.0,0.0
weight-noise 0.15,weight-noise 0.15,0.15,9,0.9777,0.2905,0.0,0.0,0.0,0.0,0.0,0.0
interval const 0.02,interval const,0.02,9,0.9791,0.9681,0.9516,0.8336,0.0413,0.0,0.0,0.0
interval inc 0.02,interval inc,0.02,9,0.9814,0.9738,0.9624,0.8808,0.1427,0.0,0.0,0.0
interval const 0.05,interval const,0.05,9,0.9765,0.9718,0.9662,0.9417,0.767,0.0644,0.0006,0.0
interval inc 0.05,interval inc,0.05,9,0.9704,0.9672,0.9631,0.9463,0.8585,0.362,0.0056,0.0
interval const 0.1,interval const,0.1,9,0.9619,0.9588,0.9571,0.9452,0.9018,0.7026,0.0662,0.0027
interval inc 0.1,interval inc,0.1,9,0.9315,0.9297,0.9262,0.9151,0.8884,0.8434,0.7289,0.0675
interval const 0.15,interval const,0.15,9,0.9112,0.9095,0.907,0.8953,0.8732,0.8286,0.6012,0.0068
interval inc 0.15,interval inc,0.15,9,0.6241,0.6232,0.6214,0.6139,0.6027,0.588,0.567,0.4921
interval const 0.2,interval const,0.2,9,0.7664,0.7649,0.7629,0.7588,0.7492,0.736,0.7168,0.1854
interval inc 0.2,interval inc,0.2,9,0.3716,0.3713,0.3706,0.3691,0.3669,0.3632,0.3587,0.3486
interval const 0.3,interval const,0.3,9,0.1135,0.1135,0.1135,0.1135,0.1135,0.1135,0.1135,0.1135
interval inc 0.3,interval inc,0.3,9,0.1135,0.1135,0.1135,0.1135,0.1135,0.1135,0.1135,0.1135
